20161122:11443670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11443670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11443670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11443670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11443670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11443670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11443670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11443674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11443674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11443674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11443674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11443674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11443674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11443674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11443674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11443674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11443677 |[UPDATE][pNIC4] pNIC_Latency(532) 

20161122:11443677 |[UPDATE][pNIC4] pNIC_Latency(532) 

20161122:11443677 |[UPDATE][pNIC4] pNIC_Latency(532) 

20161122:11453667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11453667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11453667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11453667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11453667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11453667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11453667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11453667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11453670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11453670 |[UPDATE][pNIC2] pNIC_Latency(530) 

